song,country
Van Morrison - Days Like This,0.128689
Earl Scruggs - Stash It,0.128254
Dan Gibson - Cool Forest Rain,0.128232
Dean Martin - Return To Me,0.127883
Jerry Jeff Walker - L.A. Freeway,0.127863
Matthew West - More,0.127757
Darrell Evans - Trading My Sorrows,0.127032
Broken Social Scene - KC Accidental,0.126741
Stephen Kellogg & The Sixers - Maria,0.126555
Secret Machines - All At Once (It's Not Important),0.12595
Reno & Smiley - I Saw Your Face In The Moon,0.125832
Avril Lavigne - I'm With You,0.125709
Mercyme - Here With Me,0.125669
George Michael - Praying For Time,0.12548
Nitty Gritty Dirt Band - Get Back,0.125325
Jennie Arnau - Float On,0.125229
Loquat - Change The Station,0.124426
The Supremes - Love Is Here And Now You're Gone,0.124365
Nitty Gritty Dirt Band - Snowballs,0.123639
Maxine Nightingale - Right Back Where We Started From,0.12342
The Monkees - She,0.123396
The National - Fake Empire,0.123184
Avril Lavigne - Nobody's Home,0.12202
Jimmy Ruffin - What Becomes Of The Brokenhearted,0.121579
Bing Crosby - You Must Have Been A Beautiful Baby,0.120934
Paul Bley - Time On My Hands,0.120557
Ben Jelen - Not My Plan,0.120074
Blackmore's Night (Holiday) - We Three Kings,0.119365
David Bowie - Rebel Rebel,0.117479
The Beatles - Got To Get You Into My Life,0.117327
No Age - My Life's Alright Without You,0.117105
Kasey Chambers - Falling Into You,0.116522
The Rolling Stones - Get Off Of My Cloud,0.116439
Ronnie Earl - Ronnie Johnnie,0.115405
JoJo - Too Little. Too Late,0.115326
Indigo Girls - Blood And Fire,0.115244
Lucy Kaplansky - I Had Something,0.11492
Royal Crown Revue (Holiday) - Baby It's Cold Outside (feat. Vicky Tafoya),0.114887
The Beatles - Love Me Do,0.114513
Question Mark and the Mysterians - 96 Tears,0.113905
Grand Ole Party - Look Out Young Son,0.113745
Indigo Girls - Cold Beer And Remote Control,0.113651
Harry James & Benny Goodman - Life Goes To A Party,0.112283
Bishop Allen - Things Are What You Make Of Them,0.11141
Alison Krauss - Whiskey Lullaby,0.110908
Alison Krauss - Endless Highway,0.109976
Vince Gill - When I Call Your Name,0.109705
James Cotton - Soul Survivor,0.109247
Bryan Sutton - Grover Glen,0.108631
The George Lewis Band - Pork Chop,0.108478
Tokyo Police Club - Nature Of The Experiment,0.10826
The Blakes - Modern Man,0.107993
Kidz In The Hall - Mr. Alladatsh*T,0.107609
Jimmy Buffett - Come Monday,0.107192
Alison Krauss - Wish I Still Had You,0.10717
The Dubs - Chapel Of Dreams,0.10626
Leftover Salmon - Midnight Blues (feat. Del & Ronnie McCoury),0.105411
Asleep At The Wheel - Stay All Night,0.105327
Antonio Pinana - Cuando Llora La Guitarra,0.105152
The Beatles - Michelle,0.104588
Blackmore's Night (Holiday) - Hark The Herald Angels Sing ? Come All Ye Faithful,0.104498
Boys From Indiana - Atlanta Is Burning,0.10448
John Tesh - God Of Wonders,0.104286
Seven Day Jesus - I Will Find You,0.103969
The Troggs - My Lady,0.103544
Ella Fitzgerald - Bidin' My Time,0.103245
Lucy Kaplansky - Every Single Day,0.102658
Johnny Horton - Out In New Mexico,0.102386
Tim Hughes - Here I am to Worship,0.102327
Serena Ryder - Sisters Of Mercy,0.101839
The Nomads - Situations,0.101636
Johnny Horton - I'm Ready If You're Willing,0.101477
Bryan Mann - Who Put The Bomp (In The Bomp Bomp Bomp),0.101203
Van Morrison - Midnight Special,0.101031
Death Vessel - Dancers All,0.100856
Lee Ann Womack - I Hope You Dance,0.100675
The Supremes - Where Did Our Love Go,0.100401
Ella Fitzgerald - Crying Mood,0.099857
Jon Bon Jovi (Holiday) - Please Come Home For Christmas,0.099762
Luis Miguel - Por Debajo De La Mesa,0.098939
James Cotton - Take Me Back,0.098147
James P. Johnson - You've Got To Be Modernistic,0.097538
Ambrosia - How Much I Feel,0.097489
Kathleen Edwards - I Make The Dough. You Get The Glory,0.096473
Kate Rusby - A Rose In April,0.096133
Leftover Salmon - Steam Powered Aeroplane (Live),0.095585
Rosalia De Souza - Ao Amigo Tom,0.095427
Reik - Me Duele Amarte,0.095301
Eric Harringer & John Paul Lacey - Morning Dew,0.095259
Sex Pistols - Pretty Vacant,0.0949
Doc Watson - Down In The Valley To Pray,0.094725
Sam Bush - Sailin' Shoes,0.094634
P.M. Dawn - I'd Die Without You,0.094576
Robert Earl Keen - Corpus Christi Bay,0.094122
Eggs Over Easy - 111 Avenue C,0.093771
Fastball - Morning Star,0.093177
Catherine Maclellan - River Valley Plains,0.092937
The Beatles - Can't Buy Me Love,0.092854
Shudder To Think - Goat,0.092443
The Clovers - Devil Or Angel,0.092397
Bryan Sutton - Stoney Creek,0.092156
The Dirty Projectors - Time Birthed Spilled Blood,0.092101
Mose Andrews - Ten Pound Hammer,0.09176
Band Of Horses - The First Song,0.091537
Converge - The Broken Vow,0.091499
Passion - You Never Let Go,0.091338
The Beatles - Rock And Roll Music,0.091284
Avril Lavigne - Contagious,0.091279
Jack Jones - Luck Be A Lady,0.091011
Toots & The Maytals - Sweet And Dandy,0.090827
Cardenales De Nuevo Leon - Por Las Damas,0.090818
Your Vegas - In My Head,0.090288
J-Dilla - Make Em Nv,0.090176
J-Dilla - Make'em Nv [Instrumental],0.090176
Doyle Dykes - Caleb's Report,0.089726
Sharon Jones & The Dap-Kings - Be Easy,0.089135
Gladys Knight & The Pips - Best Thing That Ever Happened To Me,0.089087
Pepe Aguilar - Perdoname,0.088861
Peter Mulvey - Bloomington,0.088845
Tony Bennett - The Best Man,0.088634
Dave Barker - Don't Let The Sun Catch You Crying,0.088397
The Beatles - No Reply,0.087661
The Royal Guardsmen - Snoopy Vs. The Red Baron,0.087604
Antonio Carlos Jobim - Amor Em Paz (Once I Loved),0.08711
The Rivieras - Count Every Star,0.08681
Josh White - Uncle Sam Says,0.086517
John Prine - Everything Is Cool,0.086502
The Rolling Stones - Street Fighting Man,0.086405
Rissi Palmer - Hold On To Me,0.086151
Angelo - Save The Music,0.085623
Furry Lewis - Falling Down Blues,0.085591
Jim Jackson - Bye. Bye. Policeman,0.085117
Tony Bennett - Steppin' Out With My Baby,0.08446
Wumpscut - Rusty Nails From Hell,0.084327
Clancy Eccles - Sweet Jamaica,0.084324
The Jam - Don't Tell Them You're Sane,0.084023
Junior Brown - Broke Down South Of Dallas,0.083827
Jackson 5 - Dancing Machine,0.083728
The National - Slow Show,0.083237
Sam Bush - Girl Of The North Country (live),0.083137
"Dittersdorf. Karl Ditters von - Sinfonia In D Major. (""Il Combatiimento Delle Passioni Umani""). Grave D16",0.082914
Marvin Gaye - What's Going On,0.082535
Lee Ann Womack (Holiday) - Baby It's Cold Outside (feat. Harry Connick. Jr.),0.082427
Tommy Johnson - Cool Drink Of Water Blues,0.082249
Corona - Rythym Of The Night,0.082242
Suffocation - Reincremation,0.081779
The Wallflowers - 6th Ave Heartache,0.081298
Lester Young - Jump. Lester. Jump,0.080904
Liquid Mind - Lullaby For Grownups,0.080888
William Clarke - Five Card Hand,0.08085
Eddie Boyd - Best I Could,0.080505
The Cars - My Best Friends Girl,0.080209
Gilberto Gil - Mancada,0.079559
The New Colony Six - I Lie Awake,0.079198
Alc (A Lo Cubano) - Vanilla Y Chocolate,0.07899
Toots & The Maytals - Monkey Man,0.078925
Al Stewart - Broadway Hotel,0.078756
The Cambridge Singers & Orchestra (Holiday) - Good Christian Men. Rejoice,0.078665
Kathleen Edwards - Oh Canada,0.078504
Jackson 5 - Oh How Happy,0.077841
Tex Ritter - I've Found A New Baby (Instrumental),0.077833
Chayanne - Dejaria Todo,0.077479
Hugo Montenegro & His Orchestra - Theme From A Fistful Of Dollars,0.077326
Bill Monroe - Molly & Tenbrooks,0.077312
R. Kelly - Half On A Baby,0.077031
The Cambridge Singers & Orchestra (Holiday) - 'Twas In The Moon Of Winter Time,0.076979
Junior Brown - My Wife Thinks Your Dead,0.076843
The Sons Of The West - Panhandle Shuffle,0.076777
The Soul Survivors - Hey Gyp,0.076772
Avril Lavigne - Keep Holding On,0.076343
Band Of Horses - No One's Gonna Love You,0.076318
Toots Thielemans & Elis Regina - Aquarela Do Brasil,0.076239
Hazel Dickens & Alice Gerrard - I Just Got Wise,0.075932
The Cotton Pickers - Hot Lips,0.075856
Doc & Merle Watson - Gambler's Yodel,0.07564
Ryan Montbleau Band - Stretch,0.07563
Stevie Wonder - Ribbon In The Sky,0.074763
Black Lips - Boone,0.07445
Los Lobos - Shakin' Shakin' Shakes,0.074066
Various Artists? 50 Most Loved Christmas Carols (Holiday) - Lo. How A Rose E'er Blooming,0.074038
Parts & Labor - The Gold We're Digging,0.07372
Dave Biller & Jeremy Wakefield - Martian Guts,0.073693
Dan The Automator - Sleep,0.073543
The Beatles - Let It Be,0.073499
James P. Johnson - What Is This Thing Called Love,0.073452
Laura Pausini - Viveme,0.073332
Whitney Houston (Holiday) - Do You Hear What I Hear?,0.072983
Downhere - Feels Like Winter,0.07296
Pavement - Baptist Blacktick,0.072901
Rihanna - Hate That I Love You,0.072687
Chayanne - Un Siglo Sin Ti,0.072187
Dan Gibson - The Fallen Leaves,0.071467
Tex Atchison - Tennessee Hound Dog,0.071248
The Monkees - Look Out (Here Comes Tomorrow),0.07109
Junior Brown - Highway Patrol,0.070973
Bunny Berigan - The Buzzard,0.070875
Michelle Branch - Everywhere,0.070736
The Seldom Scene - Maybe You Will Change Your Mind,0.070522
The League - Hey Conductor,0.070458
Creed - Higher,0.070369
Ralph Stanley & The Clinch Mountain Boys - Pretty Polly,0.070366
The Monkees - The Monkees,0.070358
4 Haven Knights - In My Lonely Room,0.070302
Dean Martin - Everybody Loves Somebody,0.070291
Tommy Johnson - Maggie Campbell,0.070256
Neil Young - Ohio,0.07024
Waylon Jennings - Theme From The Dukes Of Hazzard,0.070036
Lefty Frizzell - Saginaw. Michigan,0.069874
Ralph Stanley & The Clinch Mountain Boys - Calling My Children Home,0.069478
Bobo Thomas - Catfish Blues,0.069267
Gleisberg - Indian Garden,0.069145
Unwound - Laugh Track,0.068722
Lynyrd Skynyrd - Sweet Home Alabama,0.068672
John Danley - Atlas Bone,0.068654
Josh White - Bonbons. Chocolate. And Chewing Gum,0.067957
Rogue Wave - Nourishment Nation,0.067914
Public Enemy - Public Enemy No. 1,0.067866
Ella Fitzgerald - Darn That Dream,0.067789
Boccherini. Luigi - Symphony In D Minor. G. 522 (Op. 45),0.067656
Glen Gray & The Casa Loma Orchestra - Who's Sorry Now?,0.067552
Lester Young - Six Cats And A Prince (Master Take),0.067525
Richard Hell & The Voidoids - Love Comes In Spurts,0.067415
Raina Rose - Evergreen House. 2nd Floor,0.067386
Peter & Gordon (60s) - A World Without Love,0.067348
Dan Crary - Reuben,0.067343
Stephen Kellogg & The Sixers - A Cabin In The Woods,0.067315
Architecture In Helsinki - Spring 2008,0.0673
Angelo Debarre Et Ludovic Beier - Passion (En Duo),0.067074
Waylon Jennings - Clyde,0.066779
The Five Blind Boys Of Mississippi - Where He Leads Me,0.06666
Tim Bluhm - California Way,0.065909
Ned Luberecki - Emergency Pulloff,0.065689
Antonio Carlos Jobim - Insensatez (How Insensitive),0.065654
Garfield Akers - Cottonfield Blues Part 1,0.065324
Doctor Ross - Tailor Made,0.065268
Lucy Kaplansky - Written On The Back Of His Hand,0.06518
Antonio Vivaldi (Holiday) - Gloria In D Major. Et In Terra Pax,0.065159
Don Ross - First Ride,0.065064
Antonio Aguilar - Triste Recuerdo,0.064644
Luis Miguel - La Incondicional,0.0646
Rilo Kiley - A Man ? Me ? Then Jim,0.064405
Antonio Carlos Jobim - Vivo Sonhando,0.064311
Bing Crosby - I Don't Know Why (live),0.063827
Maria Bethania & Gal Gosta - Sonho Meu,0.063405
The Association - Windy,0.063354
Adele - Melt My Heart To Stone,0.063207
XTC - The Rhythm (Live),0.063129
The Beatles - Baby You're A Rich Man,0.063033
The Beatles - Two Of Us,0.062548
The Beatles - When I Get Home,0.062321
Albert King - Can't You See What You're Doing To Me,0.062225
Descendents - Suburban Home,0.062203
Junior Brown - Lookin' For Love,0.062132
Traffic - Pearly Queen,0.062056
The Smokin' Joe Kubek Band - Comin' Home Today,0.062033
The Manhattans - Kiss And Say Goodbye,0.062005
Jack Jones - Somewhere My Love,0.061722
Fastball - Are You Ready For The Fallout?,0.06165
Justin Hinds & The Dominoes - Carry Go Bring Come (Rocksteady),0.061582
Al Stewart - Year Of The Cat,0.061456
Chayanne - Atado A Tu Amor,0.061334
Waylon Jennings - T For Texas (Blue Yodel No. 1) (live),0.061305
Lindsay Lohan - Black Hole,0.061228
Red - Wasting Time,0.06109
Matthew West - Get Away,0.060712
The Beatles - Something,0.060563
Cornel Campbell - Screwface,0.060558
The Business - Drinking And Driving,0.060465
AC?DC - Shot Down In Flames,0.060442
Marvin Gaye - You're A Wonderful One,0.060283
Fugazi - Suggestion,0.060276
Wes Montgomery - If I Should Lose You (Take 2-Alternate),0.060111
Balearic Bill - Destination Sunshine,0.059868
Sex Pistols - Problems,0.059737
Dave Swarbrick - Two Magicians,0.059695
Bessie Smith (Holiday) - At The Christmas Ball,0.059578
Social Distortion - Cold Feelings,0.059377
The Verve - Blue (USA Mix),0.059361
Toots & The Maytals - Still Is Still Moving To Me (feat. Willie Nelson),0.059094
The Offspring - Can't Repeat,0.058853
Lazy Lester - Gonna Stick To You Baby,0.058474
Pete Fountain - High Society,0.058338
Ryan Montbleau Band - Honeymoon Eyes,0.058254
Huracanes Del Norte - Nomas Por Tu Culpa,0.058182
Sam Bush - Harbor Docks,0.057941
Dan Crary - Lime Rock,0.057936
The Cambridge Singers & Orchestra (Holiday) - Angels We Have Heard On High,0.057908
Ella Fitzgerald - A Fine Romance,0.057723
Krum Bums - Misery,0.057317
Celia Cruz & Tito Puente - La Plena Bomba Me Llama,0.057184
The Paul Butterfield Blues Band - Piney Brown Blues,0.056985
The Bird And The Bee - The Races,0.056701
The Allman Brothers Band - Long Time Gone,0.05663
The Blakes - Streets,0.056432
Catie Curtis - Fall Away,0.056152
Wes Montgomery - Watch What Happens,0.056141
Holly Cole - Christmas Blues,0.056056
Boyce. William - Ode For St. Cecilia's Day,0.056046
The Aggrolites - Mr. Misery,0.055839
Jerry Jeff Walker - Gettin' By (Live),0.055727
Andrae Crouch - Soon And Very Soon,0.055548
Social Distortion - Bad Luck,0.055333
Hillsong & Delirious? - I Could Sing Of Your Love Forever,0.055152
Cat Stevens - Wild World,0.055129
Daddy Yankee - Cuentame,0.054882
Los Lobos - Let's Say Goodnight,0.054747
Tokyo Police Club - Be Good,0.054682
Joseph Arthur - Favorite Girl,0.054633
The Jam - In The City,0.054615
Explosions In The Sky - A Slow Dance,0.054399
The Crests - Angels Listened In,0.05432
Van Morrison - Gloria (Performed By Them),0.054233
Mike Dowling - Mean Old Frisco,0.054179
The Jam - Man In The Corner Shop,0.054175
Skid Row - 18 And Life,0.053862
The National - Green Gloves,0.05368
Ziggy Marley - Friend,0.053662
Reuben Morgan - Hear Our Praises,0.053475
The Heavenly Music Association - Alain,0.05346
Los Rieleros Del Norte - Fue Mentira,0.053254
Port O'Brien - Anchor,0.053025
Your Vegas - Troubled Times,0.052987
The National - Fake Empire (Live),0.052325
Lowell Fulson - Guitar Shuffle,0.052281
Don Ross - Berkley Springs,0.051837
Billy Preston - Outa-Space,0.051732
Raekwon - Ice Cream,0.051503
Alison Krauss - When You Say Nothing At All,0.051397
The Ray Conniff Singers (Holiday) - Santa Claus Is Coming To town,0.051364
Phil Wickham - Jesus Lord Of Heaven,0.051357
James Cotton - Blues For Jacklyn,0.051328
Ella Fitzgerald & Louis Armstrong - Stars Fell On Alabama,0.051227
Pee Wee Hunt & His Orchestra - Charleston,0.051194
Furry Lewis - Mistreatin' Mama,0.051108
Kokomo Arnold - Milk Cow Blues,0.051101
Skid Row - I Remember You,0.05095
Willie Banks - God's Goodness,0.050721
Sky Saxon - Love Dog,0.050627
Flatfoot 56 - Brotherhood,0.05049
Tokyo Police Club - In A Cave,0.050451
Little Walter - Blue Baby Hard Times,0.050249
Shadows Of Knight - I'll Make You Sorry,0.050234
Men Of Steel - In Flagrante (Live),0.05008
Winters - Mark My Word,0.049834
Enanitos Verdes - Lamento Boliviano,0.049729
Loreena McKennitt (Holiday) - The Stockford Carol,0.049719
Anointed - Mighty Long Way,0.049496
Cornel Campbell - Concrete Jungle,0.049308
Guns N' Roses - Patience,0.048774
Tim O'Brien - Johnny Don't Get Drunk ? Rye Straw,0.048766
The Dirty Projectors - Rise Above,0.048753
The Animals - See See Rider,0.048659
Luis Miguel - Hasta Que Me Olvides,0.048628
