id,song,rock
148,Montgomery Gentry - My Town,0.65175
286,The Jam - In The City,0.650708
60,Doctor Ross - Tailor Made,0.648762
758,Unwound - Laugh Track,0.647454
1286,Parts & Labor - The Gold We're Digging,0.644924
1742,"Nine Inch Nails - No, You Don't",0.64181
115,Steve Earle & The Supersuckers - Before They Make Me Run,0.633698
1565,Traffic - Smiling Phases,0.63098
597,Sex Pistols - EMI,0.63078
1082,AC?DC - Have A Drink On Me,0.630527
824,Sons And Daughters - Johnny Cash,0.627279
1413,The Rolling Stones - Complicated,0.627198
411,Wumpscut - Opening The Gates Of Hell,0.622012
873,The Bronx - False Alarm,0.621276
1087,AC?DC - Who Made Who,0.619098
1387,Foghat - Night Shift,0.618533
197,The Sword - Celestial Crown,0.617982
945,Guns N' Roses - Live And Let Die,0.617398
456,Skid Row - 18 And Life,0.610463
400,The Century's - Hard Times,0.610186
219,Sevendust - Enemy,0.609751
1740,Nine Inch Nails - Heresy,0.603466
941,Guns N' Roses - Paradise City,0.602018
1316,Nachtmystium - Code Negative,0.599865
1643,The Troggs - Wild Thing,0.599524
877,The Monkees - Look Out (Here Comes Tomorrow),0.597861
1741,Nine Inch Nails - Kinda I Want To,0.590639
630,New York Dolls - Mystery Girls (Planet Studios Demo),0.585002
464,Chuck Berry (Holiday) - Run Rudolph Run,0.58392
1373,Descendents - Suburban Home,0.583287
1397,The Supremes - Love Is Here And Now You're Gone,0.581092
1084,AC?DC - Problem Child,0.579971
1695,Robert Cray - Nothin' But A Woman,0.578068
1538,The Association - Windy,0.571789
402,The Rivieras - Count Every Star,0.569981
949,Cat Stevens - Don't Be Shy,0.568849
962,Broken Social Scene - KC Accidental,0.566763
1531,Marvin Gaye - You're A Wonderful One,0.564786
158,Richard Hell & The Voidoids - Love Comes In Spurts,0.564026
1089,AC?DC - Shot Down In Flames,0.563397
1582,Winters - Mark My Word,0.558874
51,Earthless - Cherry Red,0.558542
1296,Joey Ramone - Like A Drug I Never Did Before,0.55757
1493,ABORTED - Ingenuity In Genocide,0.552033
734,Band Of Horses - Is There A Ghost,0.550354
345,KMFDM - Don't Blow Your Top,0.548774
492,In Flames - Take This Life,0.539144
1285,Parts & Labor - Long Way Down,0.538869
599,Sex Pistols - Pretty Vacant,0.536934
963,Broken Social Scene - Our Faces Split The Coast In Half,0.536882
810,Powder (Holiday) - Christmas Don't be Late (Chipmunk Song),0.536706
1423,Fastball - Are You Ready For The Fallout?,0.534556
125,Deep Purple - Smoke On The Water (Live 1973),0.531871
1739,Nine Inch Nails - Big Man With A Gun,0.528901
600,Sex Pistols - Problems,0.525529
1389,Foghat - Slow Ride,0.523891
494,Burning Witch - Sea Hag,0.523874
1453,Moby Grape - Lazy Me,0.522174
1239,Drive-By Truckers - Sink Hole,0.517777
198,The Sword - Freya,0.517084
1472,Sourvein - Septic Werewolves,0.514604
217,Children Of Bodom - Living Dead Beat,0.514388
1621,Justifide - Pointing Fingers,0.514136
1228,The Blakes - Streets,0.513637
1227,The Blakes - Commit,0.513233
1530,Marvin Gaye - I'll Be Doggone,0.512918
861,Michelle Branch - Everywhere,0.511351
1218,The Handshake Murders - New Enemy,0.506899
625,Iron Maiden Tribute Band - Run To The Hills,0.506056
181,Korn - Make Me Bad,0.506031
1347,The Beatles - Paperback Writer,0.504594
944,Guns N' Roses - Knockin' On Heaven's Door,0.504358
835,Teddy Wilson - In The Mood,0.502839
881,The Monkees - She,0.502368
655,Trey Anastasio - Come As Melody,0.501169
586,The Mark Inside - Carousel,0.497574
1323,The Beatles - When I Get Home,0.497119
254,Flyleaf - I'm So Sick,0.494828
1666,Grandmaster Flash & The Furious Five - Scorpio,0.485843
1714,Junior Brown - Lookin' For Love,0.485534
1693,Wire - Reuters,0.482255
1335,The Beatles - All You Need Is Love,0.482191
748,The Dead Milkmen - Punk Rock Girl,0.477511
123,Hooverphonic - 2Wicky,0.473134
1415,The Rolling Stones - Shake Your Hips,0.471744
241,The Kingsmen - Louie Louie,0.471652
959,Broken Social Scene - Cause = Time,0.471289
1311,Kenny Loggins - Danger Zone,0.471229
1422,Fastball - 'Til I Get It Right,0.47095
964,Broken Social Scene - Shampoo Suicide,0.469893
1128,Christopher Lawrence - October's Child,0.469569
469,Soda Stereo - Sueles Dejarme Solo,0.468681
826,4 Haven Knights - In My Lonely Room,0.467659
814,Bryan Mann - Who Put The Bomp (In The Bomp Bomp Bomp),0.466774
1339,The Beatles - If I Needed Someone,0.465965
403,Red - Wasting Time,0.460461
425,Scorpions - New Generation,0.459024
1134,Matthew West - Get Away,0.454339
807,C+C Music Factory - Things That Make You Go Hmmmm?..,0.453485
1699,Alter Bridge - One By One,0.453459
922,Rev Theory - Hell Yeah,0.452229
1372,Finger Eleven - Stay And Drown,0.450402
878,The Monkees - The Monkees,0.449523
1468,Passion - Awesome Is The Lord Most High,0.448624
1463,Sever Your Ties - Hand In Hand,0.442311
1234,Clifford Brown - Donna Lee (live),0.44157
653,Dan Deacon - Wooody Woodpecker,0.438021
1744,Nine Inch Nails - The Only Time,0.437485
1471,Raveonettes (Holiday) - The Christmas Song,0.436832
369,The Nomads - Situations,0.434776
879,The Monkees - Tomorrow's Gonna Be Another Day,0.434
960,Broken Social Scene - Fire Eye'd Boy,0.430584
1386,Foghat - Drivin' Wheel,0.429863
674,Videos - Trickle Trickle,0.42969
331,George Michael - Praying For Time,0.428372
635,Wolfmother - Colossal,0.426312
797,Tomasa La Macanita - Yo Soy De Jerez (Bulerias De Cai),0.423392
1356,"James Brown - Hot Pants, PT.1",0.423062
1000,Thou - I Was Ignored. And Judged. And Cast Down,0.4227
340,"Brand New - Okay I Believe You, But My Tommy Gun Don't",0.422401
1264,Dead Confederate - Shadow The Walls,0.422322
1475,Stevie Wonder - I Wish (Live),0.421858
405,The Five Blind Boys Of Mississippi - Where He Leads Me,0.421701
153,Waylon Jennings - Clyde,0.421331
1520,The Pointer Sisters - Jump,0.419023
1416,The Rolling Stones - Street Fighting Man,0.41793
1124,Styx - Renegade,0.41784
250,The Animals - I Put A Spell On You,0.410983
1469,Passion - Here I Am To Worship,0.409409
1698,Alter Bridge - Buried Alive,0.408044
427,Scorpions - No One Like You,0.407413
1864,An Albatross - Death Rides A Brown Horse,0.407059
1222,David Bowie - Rebel Rebel,0.404866
1465,Passion - No One Like You ? David Crowder Band,0.401875
1240,Drive-By Truckers - The Day John Henry Died,0.400985
943,Guns N' Roses - Don't Cry,0.40012
770,Janis Figure - Mechanical Bull,0.396879
1371,Finger Eleven - Lost My Way,0.396282
602,Doc & Merle Watson - Big Spike Hammer,0.395163
1700,Alter Bridge - Open Your Eyes,0.394709
961,Broken Social Scene - Stars And Sons,0.394514
1421,The Rolling Stones - Gimme Shelter,0.392477
601,Bishop Allen - Things Are What You Make Of Them,0.391654
361,Assemblage 23 - Longevity,0.391087
1646,Tokyo Police Club - In A Cave,0.38879
303,XTC - The Rhythm (Live),0.388559
1148,Converge - Distance And Meaning,0.386814
296,Herman's Hermits - I'm Henry The VIII I Am,0.386115
222,Starfield - Can I Stay Here Forever?,0.385372
582,The High Violets - Sun Baby,0.384508
1350,The Beatles - No Reply,0.383376
681,Mudvayne - Fall Into Sleep,0.382786
488,Larry Carlton - Layla,0.380779
1279,Devil Sold His Soul - Between Two Words,0.380764
1091,AC?DC - Hells Bells,0.380745
533,Rise Against - The Good Left Undone,0.377542
953,The Black Angels - You On The Run,0.377304
1497,Van Morrison - Gloria (Performed By Them),0.376288
644,Jay Reatard - Oh It's Such A Shame,0.376152
1312,Jerry Jeff Walker - Gettin' By (Live),0.37587
1321,The Beatles - I Feel Fine,0.373287
1470,Passion - You Never Let Go,0.373108
308,The Paul Butterfield Blues Band - Piney Brown Blues,0.370837
1079,AC?DC - You Shook Me All Night Long,0.369519
1229,The Blakes - Modern Man,0.369427
725,Fugazi - Merchandise,0.368577
1259,Prince - Little Red Corvette,0.367921
954,Neil Young - Ohio,0.367738
139,Lester Young - Six Cats And A Prince (Master Take),0.366583
280,Otis Spann - Mr. Highway Man,0.366092
652,Dan Deacon - Trippy Green Skull,0.365649
1596,Lynyrd Skynyrd - Sweet Home Alabama,0.363932
980,Steve Earle & Reckless Kelly - Reconsider Me,0.363877
1428,Jr. Walker & The All Stars - What Does It Take (To Win Your Love),0.363396
801,Ralph Stanley & The Clinch Mountain Boys - Gonna Paint The Town,0.362146
1345,The Beatles - You Won't See Me,0.36152
413,Wumpscut - Wir Warten,0.361069
976,The Wiseguys - Ooh La La,0.357576
1297,Joey Ramone - What A Wonderful World,0.356109
248,The Animals - Baby Let Me Take You Home,0.355955
958,Broken Social Scene - 7?4 (Shoreline),0.3556
1135,Matthew West - More,0.354648
1848,Gerry & The Pacemakers - See You In September,0.351644
1837,Avril Lavigne - Nobody's Home,0.351181
190,Decal - Some Kind Of Random,0.350782
638,Dean Martin - Everybody Loves Somebody,0.350489
1080,AC?DC - Dirty Deeds Done Dirt Cheap,0.350056
1221,David Bowie - Ashes To Ashes,0.349422
1358,"James Brown - Super Bad, PTS.1&2",0.348102
146,Seven Day Jesus - I Will Find You,0.34477
865,The Allman Brothers Band - Mountain Jam (Live),0.344055
1764,Tiamat - For Her Pleasure,0.342033
939,Guns N' Roses - November Rain,0.339427
149,Montgomery Gentry - Speed,0.337532
50,Canned Heat (Holiday) - Christmas Blues,0.335981
422,Hank Williams III - Crazed Country Rebel,0.332164
1533,No Age - My Life's Alright Without You,0.331534
251,The Animals - See See Rider,0.32984
393,Albert King - Can't You See What You're Doing To Me,0.328284
988,Rogue Wave - Ghost,0.32621
1127,Christopher Lawrence - Hot Rod,0.325736
1702,Ronnie Earl & Duke Robillard - Lookin For Trouble,0.324257
1455,Say Hi To Your Mom - Your Brains Vs. My Tractorbeam,0.324049
1050,Dire Straits - Walk Of Life,0.323737
220,Sevendust - Shine,0.323294
376,Willie Nix - Prison Bound Blues,0.322064
1249,Mercyme - Grace Tells Another Story,0.318302
1067,Nitty Gritty Dirt Band - I Saw The Light,0.317404
1642,The Troggs - My Lady,0.316256
249,The Animals - Don't Bring Me Down,0.315829
358,BR549 - Georgia On A Fast Train,0.315509
183,Chubby Checker - Pony Time,0.315391
983,B.B. King & John Popper (Holiday) - Back Door Santa,0.314812
1865,Earl Scruggs - Flint Hill Special,0.314284
1719,Junior Brown - Highway Patrol,0.314099
1338,The Beatles - Help!,0.313909
736,Band Of Horses - Our Swords,0.311804
1188,Lee Sykes - Lock Jaw,0.310825
243,The New Colony Six - I Lie Awake,0.304553
1595,Lynyrd Skynyrd - Free Bird (Live),0.303122
848,The Pharcyde - On The DL (Instrumental),0.301205
470,Cab Calloway - Limehouse Blues,0.300704
1162,Waco Brothers - Missing Link,0.299689
127,The Soul Survivors - Hey Gyp,0.299019
604,Buddy Bregman - Derek's Blues,0.295661
283,The Jam - Absolute Beginners,0.293675
1426,Jr. Walker & The All Stars - Cleo's Mood,0.292502
737,Band Of Horses - The First Song,0.291924
180,Korn - Blind,0.291301
1146,The Offspring - Can't Repeat,0.291273
1449,Ivory Joe Hunter - Shooty Booty,0.289531
205,J-Dilla - Crushin' [Instrumental],0.288681
1828,Allure - Rejected,0.288306
542,Black Lips - Veni Vidi Vici,0.288238
973,Roni Size & Reprazent - Hi-Potent,0.286434
735,Band Of Horses - No One's Gonna Love You,0.285121
940,Guns N' Roses - Chinese Democracy,0.284254
1205,Pete Fountain - High Society,0.283553
415,England Dan & John Ford Coley - Gone Too Far,0.283226
1354,James Brown - Get Up Offa That Thing  (Ali Dee Remix),0.283154
820,!!! (Chk Chk Chk) - All My Heroes Are Wierdos,0.282453
876,The Monkees - I'm A Believer (Mono),0.281743
230,Shalamar - Make That Move,0.280822
336,Bonerama - Freddie,0.279943
64,Leroy Carr - Sloppy Drunk Blues,0.279342
442,Little Feat - Oh Atlanta,0.278539
1342,The Beatles - She Came In Through The Bathroom Window,0.276162
225,The Mars Volta - Roulette Dares (The Haunt Of),0.275756
278,Otis Spann - Mule Kicking In My Stall,0.275578
543,Black Lips - Boone,0.274854
1295,Grey Daturas - Hanging Man Is No Peacock,0.273152
544,Black Lips - Burried Alive,0.273103
731,Lo Fidelity Allstars - Battle Flag,0.270104
192,Jackson 5 - I Want You Back,0.269544
1294,Hillsong - God He Reigns ? All I Need Is You (Live),0.268688
279,Otis Spann - Home To Mississippi,0.267408
1457,Del Tha Funkee Homosapien - Mistadobalina,0.267368
1190,Covenant - Figurehead,0.267098
1217,Guitar Shorty - Loosen Up,0.266525
1620,Justifide - Escape,0.265491
1726,Bond - Space,0.265142
306,Project 86 - Something We Can't Be,0.265114
1690,Filter - Welcome To The Fold,0.264512
1215,Downhere - Feels Like Winter,0.26252
26,Secret Machines - All At Once (It's Not Important),0.262075
1071,Nitty Gritty Dirt Band - Way Downtown,0.261072
585,Boys From Indiana - Atlanta Is Burning,0.260474
1691,Pee Wee Hunt & His Orchestra - Charleston,0.25878
1550,Toots & The Maytals - Sweet And Dandy,0.258618
551,Peter & Gordon (60s) - A World Without Love,0.255237
1309,Tipica 73 - Cachita,0.255234
27,Secret Machines - Lightning Blue Eyes,0.254825
196,The Jackson Southernaires - Lead Me,0.252317
1167,John Prine - Pretty Good,0.251425
1685,Reno & Smiley - Charlotte Breakdown,0.250462
305,XTC - Roads Girdle The Globe,0.250059
89,William Clarke - Five Card Hand,0.249977
663,The Whigs - Written Invitation,0.24992
1645,Tokyo Police Club - Graves,0.249861
1529,Marvin Gaye - I Want You,0.248933
282,C.J. Chenier & The Rod Hot Louisiana Band - Bad Luck,0.24813
1384,Sade - Paradise,0.246673
1568,Staind - It's Been Awhile,0.246358
1154,Lindsay Lohan - Black Hole,0.245656
1703,Flatfoot 56 - Brotherhood,0.245315
1370,Finger Eleven - First Time,0.244805
1526,Marvin Gaye - What's Going On,0.244151
1349,The Beatles - Can't Buy Me Love,0.24306
1305,Digital Underground - The Humpty Dance,0.242477
252,Flyleaf - All Around Me,0.242303
326,John Scofield - Drop And Roll,0.24156
299,Herman's Hermits - There's A Kind Of Hush,0.240942
1145,Daryl Coley - I Will Bless Your Name,0.240293
647,Serj Tankian - Sky Is Over,0.2401
22,RJD2 - Inhale (Remix),0.239808
626,Orchestral Manoeuvres In The Dark - If You Leave,0.238644
155,Justin Hinds & The Dominoes - Carry Go Bring Come (Rocksteady),0.237757
135,Butch Engle & The Styx - Hey I'm Lost,0.236052
1333,The Beatles - With A Little Help From My Friends,0.235617
297,Herman's Hermits - I'm Into Something Good,0.23521
1498,Van Morrison - Midnight Special,0.232741
1328,The Beatles - Got To Get You Into My Life,0.231519
627,Orchestral Manoeuvres In The Dark - Dreaming,0.231409
363,Danny Gatton & Tom Principato - I'm On Fire (Live),0.231364
1257,Prince - Let's Work (Dance Mix),0.231219
682,Will Smith - Gettin' Jiggy Wit It,0.230542
517,Sonny Rollins - On A Slow Boat To China,0.229977
692,The Smokin' Joe Kubek Band - Comin' Home Today,0.229624
86,"JoJo - Too Little, Too Late",0.229376
1588,Yuri Buenaventura - Salsa,0.22875
974,Roni Size & Reprazent - Mexican,0.228016
660,Ryan Montbleau Band - Honeymoon Eyes,0.227628
275,"Jo Dee Messina - Heads Carolina, Tails California",0.226851
816,Your Vegas - It Makes My Heart Break,0.226582
395,Albert King - I'll Play The Blues For You (Live),0.225807
1659,George Acosta - Precious,0.225222
1254,Prince - Controversy,0.225202
794,Harry James & Benny Goodman - Life Goes To A Party,0.22476
1801,The Grinder - Man Into Space,0.224482
1357,James Brown - Soul Power,0.224146
799,Ralph Stanley & The Clinch Mountain Boys - Calling My Children Home,0.224055
1055,James Cotton - Soul Survivor,0.220754
1466,Passion - Glorious,0.22028
501,Kit McClure Band - One O'clock Jump,0.220256
1395,Gilberto Gil - Mancada,0.220125
521,Sonny Rollins - Striver's Row (Live),0.218189
1507,Los Checkmates - I Think We're Alone Now,0.217071
1052,Shudder To Think - Goat,0.216306
1064,Nitty Gritty Dirt Band - Get Back,0.215884
883,Duran Duran - Ordinary World,0.215839
1233,Clifford Brown - Brownie Speaks,0.215828
1336,The Beatles - Baby You're A Rich Man,0.21566
1689,Filter - The Only Way (Is The Wrong Way),0.214467
140,Say Anything - Surgically Removing The Tracking Device,0.214092
1628,Michael Burns - Into Nothing (Hamel's Last Time For 9 Mix),0.214067
1759,"Lefty Frizzell - Saginaw, Michigan",0.213109
583,Jimmy Dorsey - Begin The Beguine,0.211913
1686,Reno & Smiley - I Saw Your Face In The Moon,0.210843
695,L.T.D. - Jam,0.210395
577,Paul Oakenfold - Time Of Your Life (feat. Perry Farrell),0.209462
1092,AC?DC - Highway To Hell,0.209421
124,Lifehouse - First Time,0.207247
154,Waylon Jennings - Theme From The Dukes Of Hazzard,0.206953
1477,Stevie Wonder - Superstition,0.206645
863,The Allman Brothers Band - Can't Take It With You,0.204402
740,Phil Collins - Another Day In Paradise (Live),0.203001
1300,The Time - Jungle Love,0.20273
860,Glen Gray & The Casa Loma Orchestra - Who's Sorry Now?,0.202654
575,Paul Oakenfold - Amsterdam,0.202579
880,The Monkees - Daydream Believer,0.202076
1385,Foghat - Dreamer,0.201347
1219,David Massengill - My First Kiss,0.200877
1331,The Beatles - Things We Said Today,0.200424
569,Lowell Fulson - Everyday I Have The Blues,0.200419
1476,Stevie Wonder - Do I Do,0.199985
1207,Pete Fountain - While We Danced At The Mardi Gras,0.199646
1697,Alter Bridge - Before Tomorrow Comes,0.198809
894,Sonicflood - I Want To Know You (In The Secret),0.198442
1696,Charles Wright & The Watts 103rd Street Rhythm Band - Express Yourself,0.198144
1661,George Acosta - The Storm,0.197876
1527,"Marvin Gaye - Got To Give It Up, Part 1 ( Live)",0.197338
1206,Pete Fountain - The Darktown Strutters' Ball,0.197279
1053,Shudder To Think - Own Me,0.197234
693,The Smokin' Joe Kubek Band - Mean Old World,0.196746
1579,Stephen Kellogg & The Sixers - A Cabin In The Woods,0.195919
479,"Bill Haley & His Comets - Shake, Rattle And Roll",0.195545
1618,Public Enemy - Fight The Power,0.195376
1593,Elefante - El Abandonao,0.194757
240,Jerry Bergonzi - Outhouse,0.193645
622,Hank Williams Jr. - All My Rowdy Friends Are Coming Over Tonight,0.193573
825,The Wallflowers - 6th Ave Heartache,0.193244
98,Retrosic - Desperate Youth,0.193023
968,Enanitos Verdes - Luz De Dia,0.192814
1775,Mar-Keys - Pop-Eye Rider,0.192806
128,Shinedown - Burning Bright,0.192037
1528,Marvin Gaye - Got To Give It Up,0.191133
467,Soda Stereo - Ella Uso Mi Cabeza Como Un Revolver,0.190836
253,Flyleaf - Sorrow,0.189965
901,Kidz In The Hall - Ritalin,0.189878
383,Simple Plan (Holiday) - My Christmas List,0.189768
1502,Kai Winding - Impulse,0.189061
116,Sharon Jones & The Dap-Kings - Let Them Knock,0.188664
1326,The Beatles - A Day In The Life (Love Version),0.188246
1615,Public Enemy - Public Enemy No. 1,0.188241
1056,James Cotton - Take Me Back,0.188187
101,Bing Crosby - You Must Have Been A Beautiful Baby,0.188162
568,Lowell Fulson - Reconsider Baby,0.18748
1214,Les Brown And His Band Of Renown - The Sweetheart Of Sigma Chi,0.187423
760,Les Paul & Mary Ford - How High The Moon,0.187221
755,Turn Me On Dead Man - 67 Dreams,0.185945
1626,Kill Memory Crash - Riyout,0.185599
1812,Jarabe De Palo - Grita,0.185061
1289,Donnie McClurkin - Church Medley,0.184562
1332,"The Beatles - Ob-La-Di, Ob-La-Da",0.184222
144,Silberbart - Head Tear Of The Drunken Sun,0.182332
126,Dj Baby Anne & Jen Lasher - Fear2,0.181988
436,Lazy Lester - Gonna Stick To You Baby,0.181971
995,Kumbia Altarz - Chiquilla,0.181791
1209,Joe Diffie - White Lightning,0.180497
409,Wumpscut - Fear In Your Eyes,0.178538
869,Willie Banks - God's Goodness,0.178498
1500,Van Morrison - Domino,0.178049
1341,The Beatles - Run For Your Life,0.177985
1382,"Eddie ""Lockjaw"" Davis - Trane Whistle",0.177079
1130,Beau Jocque & The Zydeco Hi-Rollers - Chere Mignonne (Dear Cute One),0.176452
74,Nice & Smooth - Sometimes I Rhyme Slow,0.176307
948,Cat Stevens - Wild World,0.175824
1325,The Beatles - If I Fell,0.175603
94,Black Sheep - The Choice Is Yours (Revisited),0.173744
1252,Johnny Horton - I'm Ready If You're Willing,0.173471
634,Harold Melvin & The Blue Notes - Don't Leave Me This Way,0.173231
942,Guns N' Roses - Patience,0.172647
520,Sonny Rollins - St. Thomas,0.172568
1504,)EIB( - Forgotten,0.172441
433,Lazy Lester - A Woman,0.172022
437,Lazy Lester - I'm Gonna Miss You (Like The Devil),0.170941
1313,Jerry Jeff Walker - L.A. Freeway,0.170331
19,RJD2 - All For You,0.170256
375,Creed - Higher,0.169221
1196,The Clovers - Devil Or Angel,0.169045
72,The Orb - Once More (Bedrock Dub Mix),0.168154
439,Reuben Morgan - Hear Our Praises,0.167831
1722,Junior Brown - Semi-Crazy,0.167388
572,"Lowell Fulson - No More, Pt. 1",0.167214
1833,Endre - Kallocain (Robert Nickson Remix),0.166761
676,The Commodores - Brick House,0.166733
742,Phil Collins - You'll Be In My Heart,0.166294
765,Indigo Girls - Cold Beer And Remote Control,0.16576
311,Westbam - Elektronische Tanzmusik,0.165671
1353,James Brown - Funky President,0.165622
1334,The Beatles - A Day In The Life,0.165501
478,Bill Haley & His Comets - (We're Gonna) Rock Around The Clock,0.165383
1474,Stevie Wonder - Higher Ground,0.165037
178,The Aggrolites - Mr. Misery,0.164595
862,Michelle Branch - All You Wanted,0.163899
461,Worm Is Green - Army Of Them,0.163423
1789,Ohio Players - Fire,0.163055
486,Irish Rovers (Holiday) - The Holly Bears The Crown,0.162847
659,The Cotton Pickers - Hot Lips,0.162634
187,Gladys Knight & The Pips - I Heard It Through The Grapevine,0.162439
1664,Gnarls Barkley - Smiley Faces [Live On Later With Jools Holland],0.161569
514,Sonny Rollins - Like Someone In Love,0.16144
1836,Avril Lavigne - Keep Holding On,0.160873
1265,Dead Confederate - Tortured Artist Saint,0.15999
620,Ben Jelen - Not My Plan,0.159867
1362,Clarence Fountain - I Want To Go,0.159623
1126,Groove Coverage - The End,0.158825
1173,Kim Wilson - High & Lonesome (live),0.158716
450,Arrested Development - Tennessee,0.158593
992,"Various Artists? 50 Most Loved Christmas Carols (Holiday) - Lo, How A Rose E'er Blooming",0.158581
1735,Lee Ann Womack - I'll Think Of A Reason Later,0.158191
1866,Earl Scruggs - Get In Line Brother,0.158086
46,The Business - Drinking And Driving,0.157788
1509,Darrell Evans - Trading My Sorrows,0.156633
994,Visionaries - Love (Hip-Hop),0.156041
1191,Funkadelic - One Nation Under A Groove,0.155516
1649,Tokyo Police Club - Juno,0.154735
1613,The Christmas Jug Band (Holiday) - Boogie Woogie Santa Claus,0.153037
1867,Earl Scruggs - Stash It,0.152999
378,"Michael Martin Murphey (Holiday) - Corn, Water And Wood",0.152945
1670,Brett Dennen - There Is So Much More,0.152146
662,Ryan Montbleau Band - Stretch,0.152054
1546,Toots & The Maytals - Monkey Man,0.150937
487,Irish Rovers (Holiday) - We Wish You A Merry Christmas,0.150868
313,The Brand New Heavies - BNH,0.149822
775,Azzido Da Bass - Dooms Night,0.149693
339,Bonerama - Ocean,0.148245
1251,Johnny Horton - Out In New Mexico,0.148182
1647,Tokyo Police Club - Nature Of The Experiment,0.148138
970,Enanitos Verdes - Tu Carcel,0.14785
1304,Digital Underground - Doowutchyalike,0.14731
656,Trey Anastasio - Sleep Again,0.147212
